1,17200,Ethics and Policy Issues in Computing,Skirpan
2,17210,Introduction to Social Networks,Park
3,17303,"Cryptocurrencies, Blockchains and Applications",Christin
4,17313,Foundations of Software Engineering,Razak
5,17333,"Privacy Policy, Law, and Technology",Bauer
6,17363,Programming Language Pragmatics,Aldrich
7,17402,AI and Emerging Economies,Mani
8,17415,Software Engineering Reflection,Sunshine
9,17437,Web Application Development,Eppinger
10,17445,Machine Learning in Production,Kaestner
11,17480,API Design and Implementation:,Garrod
12,17562,Law of Computer Technology,Shamos
13,17599,Advanced Topics in Machine Learning and Game Theory,Fang
14,17603,Communications for Software Leaders I,Frollini
15,17606,Privacy by Design Project Workshop,McDonald
16,17607,Privacy by Design Practicum,McDonald
17,17608,Privacy Engineering Independent Study,McDonald
18,17609,Internship for Privacy Engineering,McDonald
19,17611,Statistics for Decision Making,Pavetti
20,17611,Statistics for Decision Making,Miranda
21,17612,Business and Marketing Strategy,Berardone
22,17612,Business and Marketing Strategy,Vadlamudi
23,17615,Data Structures and Algorithms,Bass
24,17617,Programming Quantum Computers,Justice
25,17620,Quantum Computing: Circuit Mappings,Justice
26,17621,Computer Simulation of Complex Socio-Technical Systems,Carley
27,17622,Agile Methods,Miranda
28,17622,Agile Methods,Chick
29,17626,Requirements for Information Systems,Breaux
30,17627,Requirements for Embedded Systems,Pavetti
31,17637,Web Application Development,Eppinger
32,17645,Machine Learning in Production,Kaestner
33,17662,Law of Computer Technology,Shamos
34,17663,Programming Language Pragmatics,Aldrich
35,17670,Virtual Machines and Managed Runtimes,Titzer
36,17673,Studio Project III,Berardone
37,17675,Software Engineering Practicum,Berardone
38,17681,Java for Application Programmers,Lee
39,17683,Data Structures for Application Programmers,Lee
40,17684,Ethics and Policy Issues in Computing,Skirpan
41,17695,Design Patterns,Ashok
42,17699,Independent Study,Breaux
43,17703,"Cryptocurrencies, Blockchains and Applications",Christin
44,17710,Introduction to Social Networks,Park
45,17733,"Privacy Policy, Law, and Technology",Bauer
46,17745,Machine Learning in Production,Kaestner
47,17759,Advanced Topics in Machine Learning and Game Theory:,Fang
48,17762,Law of Computer Technology,Shamos
49,17780,API Design and Implementation,Garrod
50,17791,Software Engineering Seminar,Kaestner
51,17802,Societal Computing Pre-Thesis,Carley
52,17802,Societal Computing Pre-Thesis,Sadeh
53,17802,Societal Computing Pre-Thesis,Pfeffer
54,17802,Societal Computing Pre-Thesis,Cranor
55,17802,Societal Computing Pre-Thesis,Agarwal
56,17802,Societal Computing Pre-Thesis,Bauer
57,17802,Societal Computing Pre-Thesis,Herbsleb
58,17802,Societal Computing Pre-Thesis,Breaux
59,17802,Societal Computing Pre-Thesis,Vasilescu
60,17802,Societal Computing Pre-Thesis,Fredrikson
61,17802,Societal Computing Pre-Thesis,Goel
62,17802,Societal Computing Pre-Thesis,Fang
63,17802,Societal Computing Pre-Thesis,Christin
64,17803,Empirical Methods,Vasilescu
65,17806,Software Engineering Independent Study,Aldrich
66,17806,Software Engineering Independent Study,Breaux
67,17806,Software Engineering Independent Study,Garlan
68,17806,Software Engineering Independent Study,Herbsleb
69,17806,Software Engineering Independent Study,Kaestner
70,17806,Software Engineering Independent Study,Le Goues
71,17806,Software Engineering Independent Study,Scherlis
72,17806,Software Engineering Independent Study,Shaw
73,17806,Software Engineering Independent Study,Vasilescu
74,17806,Software Engineering Independent Study,Miller
75,17806,Software Engineering Independent Study,Kang
76,17806,Software Engineering Independent Study,Fredrikson
77,17821,Computer Simulation of Complex Socio-Technical Systems,Carley
78,17881,Special Topics: Sensing and Internet-of-Things,Agarwal
